Country,City,AvgTemperatureFahrenheit,Date,Month,Year
Argentina,Buenos Aires,79.5,2000-01-01,1,2000
Argentina,Buenos Aires,78.8,2000-01-02,1,2000
Argentina,Buenos Aires,74.3,2000-01-03,1,2000
Argentina,Buenos Aires,79.0,2000-01-04,1,2000
Argentina,Buenos Aires,77.1,2000-01-05,1,2000
Argentina,Buenos Aires,78.4,2000-01-06,1,2000
Argentina,Buenos Aires,80.5,2000-01-07,1,2000
Argentina,Buenos Aires,75.8,2000-01-08,1,2000
Argentina,Buenos Aires,76.2,2000-01-09,1,2000
Argentina,Buenos Aires,72.7,2000-01-10,1,2000
Argentina,Buenos Aires,76.8,2000-01-11,1,2000
Argentina,Buenos Aires,83.6,2000-01-12,1,2000
Argentina,Buenos Aires,76.6,2000-01-13,1,2000
Argentina,Buenos Aires,78.9,2000-01-14,1,2000
Argentina,Buenos Aires,76.5,2000-01-15,1,2000
Argentina,Buenos Aires,78.6,2000-01-16,1,2000
Argentina,Buenos Aires,74.0,2000-01-17,1,2000
Argentina,Buenos Aires,74.1,2000-01-18,1,2000
Argentina,Buenos Aires,82.0,2000-01-19,1,2000
Argentina,Buenos Aires,88.1,2000-01-20,1,2000
Argentina,Buenos Aires,78.6,2000-01-21,1,2000
Argentina,Buenos Aires,71.4,2000-01-22,1,2000
Argentina,Buenos Aires,72.7,2000-01-23,1,2000
Argentina,Buenos Aires,74.8,2000-01-24,1,2000
Argentina,Buenos Aires,72.5,2000-01-25,1,2000
Argentina,Buenos Aires,73.0,2000-01-26,1,2000
Argentina,Buenos Aires,76.1,2000-01-27,1,2000
Argentina,Buenos Aires,80.6,2000-01-28,1,2000
Argentina,Buenos Aires,83.3,2000-01-29,1,2000
Argentina,Buenos Aires,83.2,2000-01-30,1,2000
Argentina,Buenos Aires,79.2,2000-01-31,1,2000
Argentina,Buenos Aires,78.7,2000-02-01,2,2000
Argentina,Buenos Aires,73.9,2000-02-02,2,2000
Argentina,Buenos Aires,72.5,2000-02-03,2,2000
Argentina,Buenos Aires,76.8,2000-02-04,2,2000
Argentina,Buenos Aires,82.6,2000-02-05,2,2000
Argentina,Buenos Aires,82.3,2000-02-06,2,2000
Argentina,Buenos Aires,79.6,2000-02-07,2,2000
Argentina,Buenos Aires,77.5,2000-02-08,2,2000
Argentina,Buenos Aires,76.3,2000-02-09,2,2000
Argentina,Buenos Aires,79.1,2000-02-10,2,2000
Argentina,Buenos Aires,75.9,2000-02-11,2,2000
Argentina,Buenos Aires,71.9,2000-02-12,2,2000
Argentina,Buenos Aires,68.6,2000-02-13,2,2000
Argentina,Buenos Aires,65.7,2000-02-14,2,2000
Argentina,Buenos Aires,67.0,2000-02-15,2,2000
Argentina,Buenos Aires,69.4,2000-02-16,2,2000
Argentina,Buenos Aires,73.0,2000-02-17,2,2000
Argentina,Buenos Aires,75.9,2000-02-18,2,2000
Argentina,Buenos Aires,76.5,2000-02-19,2,2000
Argentina,Buenos Aires,77.2,2000-02-20,2,2000
Argentina,Buenos Aires,73.2,2000-02-21,2,2000
Argentina,Buenos Aires,75.8,2000-02-22,2,2000
